Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Source
"Gelcich S., Peralta L., Donlan C.J., Godoy N., Ortiz V., Tapia-Lewin S., Vargas C., Kein A., Castilla J.C., Fernandez M., Godoy F.","Alternative strategies for scaling up marine coastal biodiversity conservation in Chile",2015,"Maritime Studies",17,"10.1186/s40152-015-0022-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938325642&doi=10.1186%2fs40152-015-0022-0&partnerID=40&md5=89e9e378d24ecb2a23042f842f301ccf","The continued degradation of marine ecosystems, along with the ecosystem services they provide, suggest that new, innovative approaches are needed to scale up marine biodiversity protection and promote sustainable fishery practices. We synthesize information from Chile on the key processes involved in the development of alternative strategies for scaling up marine biodiversity conservation and discuss the complementarities with marine protected areas. Defined as “ancillary” marine conservation initiatives under the Convention of Biological Diversity, we suggest that these alternative strategies have the potential to capitalize on local stakeholders’ participation and contribute to solving livelihood and governance issues while playing a significant role in scaling up marine conservation. We specifically focus on two recent ancillary initiatives being piloted in Chile. The development of business model innovations which could enable biodiversity benefits from territorial user rights fisheries policies and the creation of municipal conservation areas. We identify how these initiatives could eventually help scale up marine conservation, discuss opportunities and challenges from these pilot experiences and conclude with the need for developing policy frameworks and cross-scale governance approaches which formally acknowledge marine ancillary conservation measures as part of an integrated way to manage marine biodiversity. Exploring and supporting alternative complementary marine conservation strategies is particularly relevant in Chile and Latin America, if biodiversity conservation initiatives are to scale in coverage, contribute to livelihood improvement of local communities, replenish fisheries and play key roles in adaptation to climate change. © 2015, Gelcich et al.; licensee Springer.","Artisanal fishers; Marine conservation; Marine protected area; Municipalities; Navidad; Territorial user rights",Article,Scopus
"Li X., Lin C., Wang Y., Zhao L., Duan N., Wu X.","Analysis of rural household energy consumption and renewable energy systems in Zhangziying town of Beijing",2015,"Ecological Modelling",22,"10.1016/j.ecolmodel.2015.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947021064&doi=10.1016%2fj.ecolmodel.2015.05.011&partnerID=40&md5=3f59e0506f658aa54f8465b70ba4533a","Rural energy consumption significantly affects the economy of a country and plays a vital role in the rural residents' lives. This paper analyzed the association of the rural household energy consumption with their demands on renewable energy systems and contributions to the reduction of CO2, TSP (total suspended particulate), and PM2.5 emissions in Zhangziying town of Daxing district of Beijing. This system analysis aimed to evaluate the sustainability of energy supply and economic development in rural area of Beijing by taking Zhangziying town as an example. Specifically, in this paper energy consumed by the rural households was investigated in terms of energy sources (coal, biogas, straw gas, LPG, electricity and firewood), utilization, choices, costs and systems. The results show that coal is still the major energy source for heating during winter, which constitutes that largest portion of the household energy consumption. With the development of renewable energy, the utilization of coal, LPG and firewood for cooking has been replaced by renewable energy such as biogas and straw gas, which are coupled with a higher heating value and lower price. Meanwhile, this study also suggests that the renewable energy generated in the surveyed villages is equivalent to 32,863.68kgce and could annually reduce 81,929.15kgCO2 emissions, 22,347.30kg TSP, and 8938.92kg PM2.5 emissions. The structure of rural household energy consumption of Zhangziying town is sustainable and environmentally sound. The structure of rural household energy consumption is undergoing a transformation from traditional low-efficiency biomass domination to integrated consumption of traditional and renewable energy sources. Renewable energy is not only a solution to the energy shortage problem in rural areas, but also helps conserve fossil resources and protect the environment. © 2015 Elsevier B.V.","Emissions reduction; Renewable energy; Rural household energy consumption; Sustainability development",Article,Scopus
"Li F., Ye Y., Song B., Wang R.","Evaluation of urban suitable ecological land based on the minimum cumulative resistance model: A case study from Changzhou, China",2015,"Ecological Modelling",67,"10.1016/j.ecolmodel.2014.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946545297&doi=10.1016%2fj.ecolmodel.2014.09.002&partnerID=40&md5=291f03baba1165651b64d6a249cf0717","Urbanization is accompanied by the intense transformation and conflicts among different land use types that produce a series of economic, social, and environmental impacts. Ascertaining the quantity and pattern optimization of urban ecological land is critical to solving urban environmental problems and realizing urban sustainable development. Using the Chinese city of Changzhou, an important and typical city in the Yangtze River delta, as the case study, we applied the minimum cumulative resistance model (MCRM) to calculate the amount of ecological land that meets the demand of socioeconomic development and ecological protection considerating the source of ecological land and constructed land, ecosystem services, and the resistance plane. Results showed that the suitable ecological land area is about 1006.9km2, which is 53.8% of the total urban area of Changzhou, and is mainly distributed in Wujin and Xinbei districts. Considering the ecological land space and functional changes of the study area and comparing the current land use status with the model simulation results, we propose three land use types. For urban ecological land, positive protection measures and prohibiting economic development initiatives are necessary. For ecotones between urban developed land and ecological land, protection should be given priority and economic development activities should be rigidly controlled. For constructed land, measurements and policies should be taken to promote reasonable development and improve land intensity. © 2014 Elsevier B.V.","Ecosystem services; Minimum cumulative resistance model; Urban suitable ecological land; Urbanization",Article,Scopus
"Eversole R.","Regional development in Australia: Being regional",2015,"Regional Development in Australia: Being Regional",1,"10.4324/9781315687261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960274403&doi=10.4324%2f9781315687261&partnerID=40&md5=8bed4bdf897b66d31974b4f9f2264d48","In Australia, regions are not just geographic locations, they are also cultural ideas. Being regional means being located outside the nation�s capital cities and in the periphery of its centres of power and influence. Regional development in Australia is thus significantly different than its European or American counterparts. However, surprisingly little has been written about the unique dynamics of development in Australia's regions; this book has been written to fill this gap. In recent decades the Australian government has made repeated policy efforts to achieve sustainable development in its non-metropolitan areas. Over the same period, those who live and work outside the nation�s capital cities have come to identify as regional Australians. This booktakes an anthropological approach to understanding the particularities of regional development in Australia. It draws upon rich, on-the-ground observations of towns, industries, universities, development organisations, and communities across different settings to provide an in-depth understanding of the subject. This book will be of interest to researchers and practitioners concerned with regional development and policy. © 2016 Robyn Eversole. All rights reserved.",,Book,Scopus
"Ding X., Zhong W., Shearmur R.G., Zhang X., Huisingh D.","An inclusive model for assessing the sustainability of cities in developing countries - Trinity of Cities' Sustainability from Spatial, Logical and Time Dimensions (TCS-SLTD)",2015,"Journal of Cleaner Production",24,"10.1016/j.jclepro.2015.06.140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938651117&doi=10.1016%2fj.jclepro.2015.06.140&partnerID=40&md5=11c5be8a3b7cf1f4198366d4d42f7bf8","Attaining inclusive, regenerative and sustainable cities for all in the context of unparalleled rates of urbanization, economy-oriented priorities, and chaotic urban development that characterize the developing world is a major challenge. A first step in reaching this goal is to conceptualize an inclusive framework for delineating, assessing and guiding the development of these cities towards sustainability. In this study we outline an inclusive, causal framework for Sustainable Development (SD) assessment, entitled ""Trinity of Cities Sustainability from Spatial, Logical and Time Dimensions"" (TCS-SLTD). It has been developed for cities in developing countries, and is illustrated using one such city, Xi'an. After reviewing the history and trends of urbanization of cities in Western China, some principles for assessing sustainability of cities in developing countries are suggested, after which the Xi'an case is presented. The urban area of Xi'an has expanded by more than 10 fold during the last quarter century, while arable land has decreased by 39%. In addition to these dramatic changes in land-use, the main axis of urban expansion has shifted from a north-south axial to radial expansion towards all areas around the core city. Over time, urban expansion has followed a ""concentrated-deconcentrated- concentrated"" trend. Xi'an overall sustainability, as measured by the index we present, has followed an upward - but not monotonic - trend between 1990 and 2010, during which its urbanization rate increased by 30%. On the basis of our multi-dimensional analysis, suggestions are made on how to direct Xi'an toward a more regenerative development path. These include revitalization of the urban system, control of urban form through planning, consulting and informing local communities about sustainable development issues, and achieving efficient functioning and harmonious coordination among different departments and municipal authorities in Xi'an. The TCS-SLTD model, outlined in this study, is a useful tool for guiding the process of Sustainable Development Indicator (SDI) selection, and provides a conceptual framework for holistically assessing the sustainability of city growth and expansion in developing countries. The model can assist urban planners and policy makers in developing countries in the performance of integrated assessments city sustainability, and in the formulation of pragmatic and focused policies to shift cities towards more regenerative and sustainable development trajectories. © 2015 Elsevier Ltd. All rights reserved.","Cities in developing countries; Enhanced Drivers-Pressures-States-Impacts-Responses (eDPSIR) framework; Multi-Dimension Framework for Sustainability Assessment (MDFSA); Regenerative development; Trinity of Cities' Sustainability from Spatial, Logical and Time Dimensions (TCS-SLTD)",Article,Scopus
"Tian P.","Three giants tighten their grip",2015,"Nature",1,"10.1038/528S176a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950302418&doi=10.1038%2f528S176a&partnerID=40&md5=9d527e494d456914956b3130c55131eb",[No abstract available],,Article,Scopus
"Bayulken B., Huisingh D.","A literature review of historical trends and emerging theoretical approaches for developing sustainable cities (part 1)",2015,"Journal of Cleaner Production",29,"10.1016/j.jclepro.2014.12.100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922041705&doi=10.1016%2fj.jclepro.2014.12.100&partnerID=40&md5=1856138cf5a346452b8f6f024b98ecfe","Spatial and urban development policies and trends have changed extensively since industrialization began in the early 1800s. Policies that were based on economic growth along with rapid urban population increases in the 20th century irreversibly and negatively impacted most urban eco-systems globally. Climate changes began to occur mainly due to fossil carbon intensive technologies upon which the urban systems and lifestyles have co-evolved. Concepts such as sustainable development (SD) and ecological modernization (EM) were among the most discussed approaches with regard to ways of responding positively to the emerging environmental concerns induced by the growth policies and development strategies. In spite of some positive contributions to urban policies that resulted in relative successes, most notably in Northwest Europe, questions remained as to whether these concepts have effectively and sufficiently catalyzed the promotion of sustainable urban developments more broadly. By building this literature review, the authors explored the evolutionary aspects and the shortcomings of the EM and SD within the overarching sustainability paradigm. The review addressed the emerging theories developed to improve approaches to urban development policies and procedures, and to contextualize the evolution of regenerative or net positive developments in broader cultural, geographical and temporal contexts. The historically significant antecedents were reviewed and visions for needed transitions were outlined in this two-part series of review articles. © 2015 Elsevier Ltd. All rights reserved.","Climate change; Ecological modernization; Positive development; Regenerative development; Sustainable development; Urbanization",Article,Scopus
"Olazabal M., Pascual U.","Urban low-carbon transitions: Cognitive barriers and opportunities",2015,"Journal of Cleaner Production",15,"10.1016/j.jclepro.2015.08.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940855959&doi=10.1016%2fj.jclepro.2015.08.047&partnerID=40&md5=9b405498d90e7fc3d9534f9e8373b092","This paper addresses the importance of the cognitive dimension in urban sustainability transition policy practice. Many and diverse actors with contrasting interests interact in urban sustainability transitions. Their perceptions and values impact the potential uptake of transition strategies in urban systems. It is thus important to understand how actors view themselves involved in such processes. A case study on low carbon transitions for the city of Bilbao (Basque Country) is presented to explore the barriers and opportunities for an energy transition using Q methodology. Results suggest that stakeholders' motivation and perceived capacity for change are mainly related to four main discourses: follower, visionary, pragmatist and sceptic. Results also indicate that information exchange, communication and participation in decision-making processes, bridging visionaries and pragmatists with decision-makers, are key for bringing about effective transition processes. This study contributes to identifying attitudes of actors who can negotiate urban low-carbon transitions and stresses the need to build a common shared cognitive vision of whether and how sustainable urban transformation can take place. © 2015 Elsevier Ltd. All rights reserved.","Cognitive dimension; Low-carbon transitions; Q methodology; Sustainable urban transformation",Article,Scopus
"Bayulken B., Huisingh D.","Are lessons from eco-towns helping planners make more effective progress in transforming cities into sustainable urban systems: A literature review (part 2 of 2)",2015,"Journal of Cleaner Production",24,"10.1016/j.jclepro.2014.12.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966522072&doi=10.1016%2fj.jclepro.2014.12.099&partnerID=40&md5=619477487d02bcf2495ac2be4a64e5d1","Eco-town developments have been the testing grounds to improve upon the urban policies and practices in the Northern and Western European countries since the early 1990s. It has been widely discussed as to whether or how they have helped transitioning of towns and cities into more sustainable systems in the larger urban context through educational, experiential, societal diffusion and changes in governance processes. The countries in different cultural and geographical contexts with rapid urbanization rates, seek to establish similar developments with relatively less knowledge of the contextual and procedural differences in the eco-towns' processes or the reasons for their varying levels of impact. This article was prepared to summarize and systematize the insights that have been obtained from 'eco-town' based urban developments implemented in the Northwestern Europe with particular emphasis given into the examples from The Netherlands, Sweden and Germany. The review of the relevant literature was conducted with the focus on: a. the context in which the demonstration eco-towns were developed since the emergence of planned communities in the early 20th century, b. the typologies, processes and frameworks through which the eco-towns were initiated, built, governed and evolved. The authors analyzed the wide diversity of frameworks and processes that have played roles in the relative successes and/or failures. The review provided insights into their procedures and the aspects associated with the diffusion of the lessons into the broader urban planning and development methods. The findings suggested that the political commitment, timing, financial aspects, physical qualities, stakeholder involvement and environmental planning were key elements in achieving the eco-towns' goals. Future research is recommended to critically analyze the impacts of these historically new urban development models and frameworks in order to create more effective approaches for achieving positive outcomes for all societies within ecological boundaries. © 2015 Elsevier Ltd. All rights reserved.","Eco-towns; Positive development; Quality of life; Regenerative development; Sustainable development; Urban transformation",Article,Scopus
"Ji S., Cherry C.R., Zhou W., Sawhney R., Wu Y., Cai S., Wang S., Marshall J.D.","Environmental Justice Aspects of Exposure to PM2.5 Emissions from Electric Vehicle Use in China",2015,"Environmental Science and Technology",23,"10.1021/acs.est.5b04927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950108675&doi=10.1021%2facs.est.5b04927&partnerID=40&md5=664ec69a9455bb7378ba2e7cc85eeb91","Plug-in electric vehicles (EVs) in China aim to improve sustainability and reduce environmental health impacts of transport emissions. Urban use of EVs rather than conventional vehicles shifts transportation's air pollutant emissions from urban areas (tailpipes) to predominantly rural areas (power plants), changing the geographic distribution of health impacts. We model PM2.5-related health impacts attributable to urban EV use for 34 major cities. Our investigation focuses on environmental justice (EJ) by comparing pollutant inhalation versus income among impacted counties. We find that EVs could increase EJ challenge in China: most (∼77%, range: 41-96%) emission inhalation attributable to urban EVs use is distributed to predominately rural communities whose incomes are on average lower than the cities where EVs are used. Results vary dramatically across cities depending on urban income and geography. Discriminant analysis reveals that counties with low income and high inhalation of urban EV emissions have comparatively higher agricultural employment rates, higher mortality rates, more children in the population, and lower education levels. We find that low-emission electricity sources such as renewable energy can help mitigate EJ issues raised here. Findings here are not unique to EVs, but instead are relevant for nearly all electricity-consuming technologies in urban areas. © 2015 American Chemical Society.",,Article,Scopus
