Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Source
"Humphreys J., Herbert R.J.H.","Marine protected areas: Science, policy & management",2018,"Estuarine, Coastal and Shelf Science",5,"10.1016/j.ecss.2018.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055646636&doi=10.1016%2fj.ecss.2018.10.014&partnerID=40&md5=2b1eaaf3a67b8a08a5fc5c327eb44afd","Marine protected areas (MPAs) generate powerful interactions between social, economic and environmental interests, manifest at a circumscribed and often local scale. Consequently the designation and management of an individual MPA typically plays out in microcosm the general challenge of sustainable development in the marine environment. Some universally relevant questions relating to four commonly held defining attributes of MPAs are articulated. However, while many of the questions are universal, in practice the answers vary greatly. Consequently there are few MPAs which would not provide an informative case study elucidating the dynamics at the intersection between science, policy and management in the marine realm. The papers in this collection exemplify a range of key issues across this spectrum of disciplines. In practice most contentious issues relate to the balance within MPAs between environmental and socio-economic considerations, not least relating to fishing. In this respect greater attention in MPA management plans, to the economic benefits of MPAs for local communities is encouraged. However we also recognise that glib assertions that a secure sustainable balance between conservation and exploitation can be established in practice, typically with few resources in a largely unseen and often data-poor environment, may sometimes be politically expedient but scientifically questionable. Yet it is ultimately the work of all those involved directly with MPAs to collectively achieve the task of transforming the rhetoric of marine conservation policy into a successful reality on the ground and we commend the authors of this collection for their efforts to achieve that goal. © 2018 Elsevier Ltd","Marine conservation; Marine protected area; Marine reserves; Ocean conservation",Article,Scopus
"Cheng Z., Zu Z., Lu J.","Traffic crash evolution characteristic analysis and spatiotemporal hotspot identification of urban road intersections",2018,"Sustainability (Switzerland)",7,"10.3390/su11010160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059352845&doi=10.3390%2fsu11010160&partnerID=40&md5=e52157308b04beaa1661e163c27eba98","Road traffic safety is a key concern of transport management as it has severely restricted Chinese economic and social development. With the objective to prevent and reduce road traffic crashes, this study proposes a comprehensive spatiotemporal analysis method that integrates the time-space cube analysis, spatial autocorrelation analysis, and emerging hot spot analysis for exploring the traffic crash evolution characteristics and identifying crash hot spots. These analyses are all conducted by the corresponding toolbox of ArcGIS 10.5. Then, a small sized-city of China (i.e.,Wujiang) is selected as the case study, and the historical traffic crash data occurring at the road intersections ofWujiang for the year 2016 are analyzed by the proposed method. The analysis process identifies the high incidence locations of traffic crashes, then presents the spatial change trend and statistical significance of the crash locations. Finally, different types of crash hotspots, as well as their evolution patterns over time, are determined. The results illustrate that the traffic crash hotspots of road intersections are primarily distributed in the Northeast area ofWujiang's major urban area, while the crash cold spots are concentrated in the Southwest of Wujiang, which points out the direction for crash prevention. In addition, the finding has a potential engineering application value, and it is of great significance to the sustainable development of Wujiang. © 2018 by the authors.","Evolution characteristic; Hot spots; Spatiotemporal analysis; Sustainable development; Traffic crash",Article,Scopus
"Kaya A., Koc M.","Over-agglomeration and its effects on sustainable development: A case study on Istanbul",2018,"Sustainability (Switzerland)",2,"10.3390/su11010135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059278022&doi=10.3390%2fsu11010135&partnerID=40&md5=1a23eaf9d8af977891e429acdbdb43b5","Inequality, in any form and dimension, is a major damaging factor for sustainable development. One of the essential drivers of inequality is the over-agglomeration and congestion in a certain region. The reasons for the agglomeration are well documented, such as knowledgespillovers, access to supply and demand markets, availability of skilled labor, and good infrastructure. However, over-agglomeration in a region, mainly triggered by poor planning and mismanagement of resource allocation, may also become a barrier for sustainable development. The over-agglomeration generally results in undesired negative effects impeding the economic, social, and environmental development any further, even causing irreversible social and environmental issues. Following the big-push model, a theoretical model is proposed to consider the negative effects of increasing rent prices due to over-agglomeration first on the industrial development of a country. This is then followed by a case study of Istanbul as a megacity and its effects on Turkey's sustainable development through industrial, social, and ecological aspects. Istanbul has been the main industrial and economic center of Turkey as the city further expanded rapidly in the last 50 years in terms of population and urbanization. This over-agglomeration has resulted in very high rent prices in the city compared to the rest of Turkey, which affected the country's industrialization. The over-agglomeration in Istanbul has also created significant economic imbalances and incomeinequalities within the city and across Turkey. The environmental degradation, the loss of forest area, and very high air and noise pollution were other results of the city's rapid expansion and overagglomeration. These industrial, social, and environmental dynamics pose serious challenges to Turkey's sustainable development as long as over-agglomeration in Istanbul persists or even aggravates further. © 2018 by the authors.","Industrialization; Istanbul; Over-agglomeration; Sustainable development",Article,Scopus
"Assefa Y.T., Babel M.S., Sušnik J., Shinde V.R.","Development of a generic domesticwater security index, and its application in Addis Ababa, Ethiopia",2018,"Water (Switzerland)",3,"10.3390/w11010037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059170229&doi=10.3390%2fw11010037&partnerID=40&md5=b11125b5d6caa384cd082bb907688854","Water security is a global concern because of the growing impact of human activities and climate change on water resources. Studies had been performed at global, country, and city level to assess the water security issues. However, assessment of water security at a domestic scale is lacking. This paper develops a new domestic water security assessment framework accounting for water supply, sanitation, and hygiene through twelve indicators. Water supply, sanitation, and hygiene are central to key water-related sustainable development goals. The framework is subsequently applied to the city of Addis Ababa, Ethiopia. From the domestic water security assessment of Addis Ababa, the water supply dimension was found to be of good level, whereas the sanitation and hygiene dimensions were of poor and fair level, respectively, indicating both a challenge and an opportunity for development. Because the analysis is spatially explicit at the city-branch level (in Addis), variation in domestic water security performance across Addis Ababa can be assessed, allowing efficient targeting of scant resources (financial, technical, personnel). Analysis further shows that a lack of institutional capacity within the utility, existing infrastructure leading to 'lock-in' and hindering maintenance and upgrade initiatives, and an unreliable power supply are the main issues leading to poor domestic water security in the study city. These areas should be tackled to improve the current situation and mitigate future problems. The developed framework is generic enough to be applied to other urban and peri-urban areas, yet provides planners and policy makers with specific information on domestic water security considering water supply, sanitation and hygiene, and accounting for within-city variability. This work could therefore have practical applicability for water service providers. © 2018 by the authors.","Developing cities; Domestic water security; Ethiopia; Hygiene; Sanitation; Urban water security; Water supply",Article,Scopus
"Do D.T., Mori S., Nomura R.","An analysis of relationship between the environment and user's behavior on unimproved streets: A case study of Da Nang City, Vietnam",2018,"Sustainability (Switzerland)",3,"10.3390/su11010083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059139747&doi=10.3390%2fsu11010083&partnerID=40&md5=efa0a65b3b6cd093ade52c080da7fbf2","One of the most insoluble problems confronted by urban areas in developing countries is the shortage of open space; street space allows daily human activities, promotes social interaction, and is seen as a precondition for the sustainable development of the community. Although some seemingly public space is also built up in Vietnam, street space is often where resident's go to perform activities. This research aims at studying behaviors of users in old street space and the interaction with existing physical settings; as an input to future renovation and the development of street space in a manner that respects the cultural and social context of the Vietnamese people. User's behaviors in streets and physical characteristics of space were collected and processed in accordance with theories of behavior setting and proxemics using some methods including place-centered behavioral mapping (PcBM) and visual encounter surveys (VES). The analysis showed that three types of behavior, including (1) Type A where various frequent activities occurred, (2) Type B which discouraged most human activities, and (3) Type C where neither frequent nor infrequent behaviors can represent environmental behavior patterns in the old street spaces of Vietnam and for each of these types of patterns improvements have been proposed by organizing street and pavements layouts detailed in this paper. The proposed improvements are based on the relationship between human behaviors and properties of the street space to assist designers, administers, and authorities in renovating and developing better and more sustainable street space. © 2018 by the authors.","Behavior setting; Danang; Environmental behavior; Proxemics; Unimproved street",Article,Scopus
"McGrail M.R., Russell D.J., O'Sullivan B.G., Reeve C., Gasser L., Campbell D.","Demonstrating a new approach to planning and monitoring rural medical training distribution to meet population need in North West Queensland",2018,"BMC Health Services Research",,"10.1186/s12913-018-3788-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058916700&doi=10.1186%2fs12913-018-3788-0&partnerID=40&md5=7ed2cc816614b78b67e9014cb0b2752e","Background: Improving the health of rural populations requires developing a medical workforce with the right skills and a willingness to work in rural areas. A novel strategy for achieving this aim is to align medical training distribution with community need. This research describes an approach for planning and monitoring the distribution of general practice (GP) training posts to meet health needs across a dispersed geographic catchment. Methods: An assessment of the location of GP registrars in a large catchment of rural North West Queensland (across 11 sub-regions) in 2017 was made using national workforce supply, rurality and other indicators. These included (1): Index of Access -spatial accessibility (2); 10-year District of Workforce Shortage (DWS) (3); MMM (Modified Monash Model) rurality (4); SEIFA (Socio-Economic Indicator For Areas) (5); Indigenous population and (6) Population size. Distribution was determined relative to GP workforce supply measures and population health needs in each health sub-region of the catchment. An expert panel verified the approach and reliability of findings and discussed the results to inform planning. Results: 378 registrars and 582 supervisors were well-distributed in two sub-regions; in contrast the distribution was below expected levels in three others. Almost a quarter of registrars (24%) were located in the poorest access areas (Index of Access) compared with 15% of the population located in these areas. Relative to the population size, registrars were proportionally over-represented in the most rural towns, those consistently rated as DWS or those with the poorest SEIFA value and highest Indigenous proportion. Conclusions: Current regional distribution was good, but individual town-level data further enabled the training provider to discuss the nuance of where and why more registrars (or supervisors) may be needed. The approach described enables distributed workforce planning and monitoring applicable in a range of contexts, with increased sensitivity for registrar distribution planning where most needed, supporting useful discussions about the potential causes and solutions. This evidence-based approach also enables training organisations to engage with local communities, health services and government to address the sustainable development of the long-term GP workforce in these towns. © 2018 The Author(s).","Access; Decision making; GP training; Health care equity; Primary care; Remote communities; Rural health; Workforce planning",Article,Scopus
"Abbay A.G., Rutten R., Azadi H., Witlox F.","How social status contributes to sustainable livelihoods? An empirical analysis in Ethiopia",2018,"Sustainability (Switzerland)",2,"10.3390/su11010068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067118836&doi=10.3390%2fsu11010068&partnerID=40&md5=18dfe26b0c046356687e6511d343d0b0","This paper scrutinized the links between social status and income of rural households to provide insight into how social status is indicated and used as a strategy for improving livelihood income. It also provides a brief look into some selected key determinants of livelihood income. We applied a two-stage least-squares estimation to household-level data from rural areas in the Tigray regional state of Ethiopia. We also proposed the latent class analysis model to identify the number of classes for the variable ""social status"". The results indicate that livelihood income is significantly affected by households' social status, indicating that high status household heads tend to enhance their participation in different social networks with the intention of strengthening the social bonds that they have and improving their status in the community, which in turn has an economic payback. Apart from this, household heads' access to off-farm work, size of owned land, exposure to multimedia, livestock ownership and spatial proximity to towns were the variables that have significant positive effects on livelihood income. © 2018 by the authors.","Ethiopia; Latent class analysis; Livelihoods; Social networks; Status attainment; Two-stage least squares",Article,Scopus
"Gulumbe U., Alabi O., Omisakin O.A., Omoleke S.","Maternal mortality ratio in selected rural communities in Kebbi State, Northwest Nigeria",2018,"BMC Pregnancy and Childbirth",3,"10.1186/s12884-018-2125-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058910314&doi=10.1186%2fs12884-018-2125-2&partnerID=40&md5=cb0377a264b68cf53c9abc182c1a350b","Background: Maternal mortality remains a topical issue in Nigeria. Dearth of data on vital events posed a huge challenge to policy formulation and design of interventions to address the scourge. This study estimated the lifetime risk (LTR) of maternal death and maternal mortality ratio (MMR) in rural areas of Kebbi State, northwest Nigeria, using the sisterhood method. Methods: Using the sisterhood method, data was collected from 2917 women aged 15-49 years from randomly selected rural communities in 6 randomly selected local government area of Kebbi State. Retrospective cohort of their female siblings who had reached the childbearing age of 15 years was constructed. Using the most recent total fertility rate for Kebbi State, the lifetime risk and associated MMR were estimated. Result: A total of 2917 women reported 8233 female siblings of whom 409 had died and of whom 204 (49.8%) were maternal deaths. This corresponds to an LTR of 6% (referring to 11 years before the study) and an estimated MMR of 890 deaths/100,000 live births (95% CI, 504-1281). Conclusion: The findings provide baseline information on the MMR in rural areas of the State. It underscores the need to urgently address the bane of high maternity mortality, if Kebbi State and Nigeria in general, will achieve the health for all by year 2030 as stated in the Sustainable Development Goals (SDGs). © 2018 The Author(s).","Kebbi state; Maternal mortality; Northwest Nigeria; Sisterhood method",Article,Scopus
"Hasan U., Whyte A., Al Jassmi H.","Life-cycle asset management in residential developments building on transport system critical attributes via a data-mining algorithm",2018,"Buildings",1,"10.3390/buildings9010001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059512630&doi=10.3390%2fbuildings9010001&partnerID=40&md5=9092038df735bf1b9aa465038b03ddd9","Public transport can discourage individual car usage as a life-cycle asset management strategy towards carbon neutrality. An effective public transport system contributes greatly to the wider goal of a sustainable built environment, provided the critical transit system attributes are measured and addressed to (continue to) improve commuter uptake of public systems by residents living and working in local communities. Travel data from intra-city travellers can advise discrete policy recommendations based on a residential area or development's public transport demand. Commuter segments related to travelling frequency, satisfaction from service level, and its value for money are evaluated to extract econometric models/association rules. A data mining algorithm with minimum confidence, support, interest, syntactic constraints and meaningfulness measure as inputs is designed to exploit a large set of 31 variables collected for 1,520 respondents, generating 72 models. This methodology presents an alternative to multivariate analyses to find correlations in bigger databases of categorical variables. Results here augment literature by highlighting traveller perceptions related to frequency of buses, journey time, and capacity, as a net positive effect of frequent buses operating on rapid transit routes. Policymakers can address public transport uptake through service frequency variation during peak-hours with resultant reduced car dependence apt to reduce induced life-cycle environmental burdens of buildings by altering residents' mode choices, and a potential design change of buildings towards a public transit-based, compact, and shared space urban built environment. © 2018 by the author.","Life-cycle social analysis; Modal-variability; Public-engagement; Sustainable-development; Transit-policy; Travel-satisfaction; Work-commute",Article,Scopus
"Marks S.J., Kumpel E., Guo J., Bartram J., Davis J.","Pathways to sustainability: A fuzzy-set qualitative comparative analysis of rural water supply programs",2018,"Journal of Cleaner Production",6,"10.1016/j.jclepro.2018.09.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053823895&doi=10.1016%2fj.jclepro.2018.09.029&partnerID=40&md5=25cb6cd71ae85076fc9e742c1050ac38","Despite recent progress extending access to drinking water supplies globally, ensuring long-term functionality of rural water infrastructure remains challenging. Past research on rural water project outcomes has used two principal approaches: large-N statistical studies estimating average effect sizes, or case studies providing causal description. Notably lacking is a rigorous comparative analysis of conditions determining sustained service delivery. We use fuzzy-set qualitative comparative analysis (fsQCA) to identify causal conditions (“pathways”) leading to sustained functionality of rural water supplies across diverse geographies. Twenty cases were selected through a review of the literature. We identified and coded five conditions to examine their influence on project outcomes for each case. Results reveal three distinct pathways sufficient for achieving sustained functionality: Pathway 1 features piped networks with professionalized, service-oriented management and post-construction support. Pathway 2 features a self-supply approach (e.g., private wells and small piped schemes) delivering water services on premises. Pathway 3 describes community-managed water points (e.g., deep boreholes with handpumps) in the context of freshwater scarcity. Two conditions were common across all pathways: good financial management and user participation in project decisions. Strong management, combined with sufficient financial and technical resources, moderates the influence of physical water availability on service sustainability. © 2018 The Authors","Functionality; Fuzzy set qualitative comparative analysis; Rural water supply; Sustainable Development Goals",Article,Scopus
