Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords
"Zhao Y., Jiao L.","Resources development and tourism environmental carrying capacity of ecotourism industry in Pingdingshan City, China",2019,"Ecological Processes",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063057354&doi=10.1186%2fs13717-019-0161-0&partnerID=40&md5=5df2f09b024324b6610714e0db16b43e","Background: Pingdingshan City has unique and rich ecotourism landscape. To realize the sustainable development of ecotourism industry in Pingdingshan and simultaneously achieve economic development and environmental protection in the development of ecotourism resources, literature analysis and field investigation methods were used to deeply explore the advantages and problems of Pingdingshan in the process of resources development in this study. Then, the indicator system of environmental carrying capacity of Pingdingshan was established and environmental carrying capacity was calculated to understand the local tourism environmental carrying capacity. Results: The development of ecotourism resources in Pingdingshan has advantages of natural conditions, convenient transportation, and sound infrastructure, but there were also problems, such as insufficient resources protection and unscientific management system. After calculation, it was found that the environmental carrying capacity of ecotourism in Pingdingshan was overloaded. Conclusion: This study reveals the development of the tourism industry in Pingdingshan and provides a basis for the future development of Pingdingshan tourism resources, which is beneficial to the sustainable development of the local ecotourism industry. © 2019, The Author(s).","Ecotourism resources; Environmental carrying capacity; Resource-based city; Sustainable development"
"Woldie B.A., Tadesse S.A.","Views and attitudes of local people towards community versus state forest governance in Tehulederi District, South Wollo, Ethiopia",2019,"Ecological Processes",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061273433&doi=10.1186%2fs13717-018-0157-1&partnerID=40&md5=659e7d81e5d04c6a3bd1462785a2d9d9","Introduction: Restoring the degraded sites with vegetation cover is an optimal solution to mitigate environmental disasters. Starting from the 1980s, donor-assisted land rehabilitation activities were taking place in Tehulederi District, South Wollo, Ethiopia. Meanwhile, majority of the forests were destroyed; part of the problem was associated with the top-down approach of forest management. The challenge is, therefore, to find a system of management that can enhance the combined effect of both the community and the state. The community forestry (i.e. a forest development activity which is practiced and managed collectively by the community members on their communal land) is one such alternative. The objectives of the study were to (1) examine the views and attitudes of local people towards community versus state forests governance and (2) evaluate the management practices implemented in the community versus state forestry and their implications on the forest status and the livelihood of local people. Methods: A structured questionnaire consisting of closed- and open-ended questions was developed to collect quantitative data from randomly selected households. Moreover, key informant interviews and focus group discussions were conducted to gather qualitative data. Descriptive statistics and multiple linear regression were used to analyze and interpret the quantitative data. The data obtained through key informant interviews and focus group discussions were synthesized and narrated using a qualitative method. Results: Several socioeconomic variables significantly affected the views and attitudes of local people towards community versus state forests governance. Generally, local people had positive views and attitudes towards the community forestry. Over 83% of the respondents agreed to accept and practice community forestry. In contrast, about 70% of the respondents had negative views and attitudes towards the state forestry. The positive views and attitudes of local people towards the community forestry may be connected with the perceived benefits (e.g. infrastructure development, source of medicinal plants, wood products, and source of fodder) and the values (e.g. aesthetic and recreational) that local people expect from the community forest. However, the negative views and attitudes of local people towards the state forestry could be attributed to the fact that the community may have limited access to forests when they are exclusively managed by the government. Moreover, such forest management may aggravate antagonistic relationship between the government and local people and be manifested as forest use conflicts. The results obtained from key informant interviews and focus group discussions suggested that the community forest had a better status than the state forest. This may have resulted from the relative advantage of the community forestry to make better use of the community forest, manage it more sustainability, and contribute more equitably to satisfy local livelihoods than does the state forestry. The respondents also illustrated the dependence of local people on forests, utilization, protection, management, and silvicultural schemes implemented in the community versus state forests. Conclusions: The findings emphasize the importance of collective decisions in forest management and governance. The intervention for a legal framework and institutional development particularly through formal recognition of local people’s ownership and right over the use of forests is indispensable towards sustainable forestry. © 2019, The Author(s).","Environmental disaster; Focus group discussion; Forest utilization and management; Household survey; Key informant interview; Sustainable forestry"
"Ejemeyovwi J.O., Osabuohien E.S., Johnson O.D., Bowale E.I.K.","Internet usage, innovation and human development nexus in Africa: the case of ECOWAS",2019,"Journal of Economic Structures",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064037351&doi=10.1186%2fs40008-019-0146-2&partnerID=40&md5=06779abe1ca65d33971087fa4bbc0421","Internet usage and the sporadic rise in the level of innovations have been major drivers of human progress in the last decades. These leaps in human intelligence have affected almost every area of human endeavour including education, health, finance, commerce, political engagement, and so on. With the United Nations’ Sustainable Development Goals (SDGs), the Economic Community of West African States (ECOWAS) has adopted some strategies in order to ensure that ECOWAS member countries are not left behind. Thus, this study examines the influence of internet usage and innovation on human development in 15 ECOWAS countries. Using the fixed and random effects panel data techniques, the study finds that Internet usage, innovation and their interaction have significant and positive relationship with human development. Furthermore, the study unbundles the ECOWAS countries and finds that countries like Cape Verde had positive significant coefficient for the three cases examined, the results for some ECOWAS members were not significant, while few had significant negative results, which did not have influence on the overall result. Recommendations on how to increase innovation for human development in ECOWAS countries are highlighted in the study. © 2019, The Author(s).","ECOWAS countries; Human development; Innovation; Internet usage; Knowledge economy; SDGs; Technical Knowledge"
"Storms K., Simundza D., Morgan E., Miller S.","Developing a resilience tool for higher education institutions: A must-have in campus master planning",2019,"Journal of Green Building",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064133660&doi=10.3992%2f1943-4618.14.1.187&partnerID=40&md5=3907f633e94d8c94a976ae273359c8b0","INTRODUCTION Resilience has become a prominent topic in the planning and design industry over the past several years. States, cities and entire regions face an ever-growing threat of environmental and societal challenges, including natural disasters, sea level rise, climate change, terrorism and financial insolvency. Around the world, universities are leading efforts in terms of research and problem solving regarding resilience and sustainability in their broader communities. As campus planners working nationwide with higher education clients, we see an increasing opportunity for higher education researchers, leaders and institutions to bring this same leadership stance to addressing their campus’ own resilience. A campus master plan is perhaps the pinnacle opportunity to connect expert researchers with campus stewards and community leaders to engage in dialogue, identify priorities and advance resilience within their campus and community. A comprehensive master plan, by its very nature, will guide and protect an institution’s long-range survival and plans. Such long-range planning is now more critical than ever given the deep financial pressures and flat or declining demographics that so many institutions face. Being proactive versus reactive increases the likelihood that institutions will succeed and continue to meet the needs of students and communities. Universities should continue or begin to address resilience challenges and opportunities in whatever scope possible. This paper will give university leaders and industry participants a broad framework to direct discussion and dissect levels of resilience, opportunities and potential shortfalls, and highlight resilient campus planning best practices. The aim is to provide a framework for institutions to measure and strengthen the resilience of their infrastructure, culture, and systems, while contributing to the resilience of their communities. © 2019, College Publishing. All rights reserved.","Built environment; Campus planning; Community resilience; Higher education; Master plan; Resilience; Sustainability"
"Tumusiime E., Kirabira J.B., Musinguzi W.B.","Long-life performance of biogas systems for productive applications: The role of R&D and policy",2019,"Energy Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065716250&doi=10.1016%2fj.egyr.2019.05.002&partnerID=40&md5=993db12b683bbf421e18d318dd31f1b9","In order to achieve the transformations required to realize sustainable development, the use of modern renewable energy has to increasingly take primacy. Biogas technology is one of listed modern RETs but despite its early introduction in Uganda, its adoption rate remains very low amidst high technology failure and dis-adoption. To investigate this, a field-based assessment was conducted to evaluate performance of productive biogas installations with an aim of determining the root cause of this poor performance. It was found out that over 50% of productive biogas installations failed within two years after their commissioning due to logistical and technological challenges. Most installations could not sustain biogas production due to deprived quality of digester feed, and lack of local technical data to utilize alternatives during scarcity of the primary feedstock. Insufficient R&D in the biogas sector is suggested to be the lead cause of such poor performance. Therefore, novel policy strategies for promoting R&D have been proposed in this paper because for success of any productive biogas system, optimization of energy recovery through R&D must be at the forefront in order to drive system outputs to better economic gain. © 2019 The Authors","Energy Policy; Optimization; Productive biogas; Research & Development; Sustainability"
"Greco S., Ishizaka A., Tasiou M., Torrisi G.","Sigma-Mu efficiency analysis: A methodology for evaluating units through composite indicators",2019,"European Journal of Operational Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065048439&doi=10.1016%2fj.ejor.2019.04.012&partnerID=40&md5=6b4edd2dd87f31c9411c8bd7b942127e","We propose a methodology to employ composite indicators for performance analysis of units of interest using and extending the family of Stochastic Multiattribute Acceptability Analysis. We start evaluating each unit by means of weighted sums of their elementary indicators in the whole set of admissible weights. For each unit, we compute the mean, μ, and the standard deviation, σ, of its evaluations. Clearly, the former has to be maximized, while the latter has to be minimized as it denotes instability in the evaluations with respect to the variability of weights. We consider a unit to be Pareto–Koopmans efficient with respect to μ and σ if there is no convex combination of μ and σ of the rest of the units with a value of μ that is not smaller, and a value of σ that is not greater, with at least one strict inequality. The set of all Pareto–Koopmans efficient units constitutes the first Pareto–Koopmans frontier. In the spirit of context-dependent Data Envelopment Analysis, we assign each unit to one of the sequence of Pareto–Koopmans frontiers. We measure the local efficiency of each unit with respect to each frontier, but also its global efficiency taking into account all frontiers in the σ−μ plane, thus enhancing the explicative power of the proposed approach. To illustrate its potential, we present a case study of ‘world happiness’ based on the data of the homonymous report that is annually produced by the United Nations’ Sustainable Development Solutions Network. © 2019 Elsevier B.V.","Composite indicators; Data envelopment analysis; neo-Benthamite approach; Sigma-Mu efficiency; Stochastic multiattribute acceptability analysis"
"Uchiyama Y., Kohsaka R.","Application of the City Biodiversity Index to populated cities in Japan: Influence of the social and ecological characteristics on indicator-based management",2019,"Ecological Indicators",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066633490&doi=10.1016%2fj.ecolind.2019.05.051&partnerID=40&md5=757cad8c45d98ad0a9d86d8b2eeaf570","For sustainability of a region, a holistic view is necessary to understand its dynamics and the conditions surrounding cities and beyond. Conservation activity indicators can be instrumental in this context, yet they can be simultaneously counterproductive in areas where intra-city sectionalisms exist. With regard to urban biodiversity, Singapore proposed an index to evaluate the biodiversity, ecosystem services, and governance specific for the cities. The index, known also as “City Biodiversity Index,” is currently applied worldwide. We analyzed the relationships between local biodiversity management in twenty populated cities in Japan and their social and ecological characteristics in order to identify the characteristics necessary for the smooth functioning of indicator-based management practices. As a result, cities with high percentages of built-up areas (with limited natural resources) tended to implement quantitative evaluations for biodiversity, although most of the twenty analyzed cities conducted participatory monitoring with stakeholder involvement. Furthermore, we identified that collaborations among different government sectors can be linked to certain ecological conditions; municipalities with relatively large amounts of forest land per capita (with many natural resources) tend to implement collaborations. Our findings suggest that indicator-based monitoring and management practices conducted through collaborations among different sectors are common challenges in municipal biodiversity management. Using the indicators could promote dealing with these challenges and contribute toward maintaining biodiversity in a wider range of regions. © 2019 Elsevier Ltd","City Sustainability Index; Convention on Biological Diversity; Singapore Index; Stakeholder involvement; Urban biodiversity"
"Liu S., Huang S., Xie Y., Huang Q., Wang H., Leng G.","Assessing the non-stationarity of low flows and their scale-dependent relationships with climate and human forcing",2019,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067206589&doi=10.1016%2fj.scitotenv.2019.06.025&partnerID=40&md5=e1f4766a2d4a5825be1a6977bf687abb","It is necessary to assess the non-stationarity of a hydrological series under changing environments. This study aimed to determine the validity of the stationarity of low flow series in terms of trends and possible change points, as well as the time-scale that is responsible for the production of trends and change points in low flow series. Further, we investigated how climatic variables affect low flow variations by studying their scale-dependent relationships. The modified Mann-Kendall trend test, heuristic segmentation method, discrete wavelet transform, and Pearson correlation coefficient were co-utilized to achieve these objectives. The Wei River Basin (WRB), a typical Loess Plateau region in China, was selected as the case study. Results showed significantly decreasing trends and change points in the low flow series, indicating that its stationarity assumption is invalid. The 2-year and 4-year events were the most important time-scales contributing to the trend of the original low flow series, and the 8-year periodic scale was the most influential frequency component for change point generation. Additionally, the strongest scale-dependent relationships among high frequency components (2-year and 4-year scales) of the low flow series and climatic variables (precipitation, potential evaporation, and soil moisture) demonstrated the importance of climatic factors for driving the trends of a low flow series. In contrast, human activities, including water withdrawals and water and soil conservation projects showed strong influences on the non-stationarity of low flows via affecting the low frequency component (8-year frequency and approximate components). These findings contribute to a better understanding temporal variations of low flow and their responses to changing environments, and the results also would be helpful for local water resources management as well as agricultural and ecological sustainable development. © 2019 Elsevier B.V.","Change point; Discrete wavelet transform; Low flow; Non-stationarity; Scale-dependent relationship"
"Garibaldi L.A., Pérez-Méndez N.","Positive outcomes between crop diversity and agricultural employment worldwide",2019,"Ecological Economics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067236519&doi=10.1016%2fj.ecolecon.2019.106358&partnerID=40&md5=32a0f1f7e89e0e9f93d31cb8bae79c1f","Understanding the links between biodiversity-friendly landscapes and human wellbeing is key for supporting policy agendas from local to global scales. United Nations Sustainable Development Goals propose full employment (SDG 8) and crop diversity (SDG 2), but it is unclear if there are trade-offs between these goals across rural landscapes worldwide. We tested this idea with agricultural and socio-economic data for 44 countries from all continents during a 15-year period (1999–2013). We show that countries where crop diversity increased also supported more agricultural jobs. Such effects were independent of differences among countries in the size of the agricultural sector or fertilizer use (a proxy for the investment in external inputs and technology incorporation). Greater crop diversity was also compatible with improved crop yields and was not confounded with changes in socio-economic development or economic growth. In general, we found no evidence that the jobs lost in the rural areas were incorporated into other sectors of the economy. Unemployment is a major concern affecting livelihoods all over the world; policies to enhance crop diversity and prevent the loss of associated agricultural jobs are urgently needed. © 2019","Agriculture; Diversity; Employment; Human wellbeing; Rural development"
"Joshi L., Choudhary D., Kumar P., Venkateswaran J., Solanki C.S.","Does involvement of local community ensure sustained energy access? A critical review of a solar PV technology intervention in rural India",2019,"World Development",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067002822&doi=10.1016%2fj.worlddev.2019.05.028&partnerID=40&md5=7fc652d8e2bf719225d5590702dec4f2","The solar photovoltaic (PV) technologies offer a sustainable solution to energy-poor communities. Adoption and sustained use of solar PV merit participation of local communities in planning and implementation. The literature on off-grid solar PV interventions that do not take the approach of involving communities point towards the difficulties experienced in reaching the bottom of the pyramid (BoP) communities as wells as in supply chain and after-sales service. Similarly, there is a gap in scientific literature that explores community inclusive initiatives to foster sustained uptake of solar PV technologies. Our study fills this gap, and discusses: 1) pathways to engage with rural poor communities to promote solar off-grid access, and 2) the impact of engaging with these communities particularly women, on their energy security and livelihood opportunities. We study a two-phased intervention in rural poor setting in Dungarpur district of Rajasthan state in India. The intervention can be broadly classified into two phases: (i) the distribution of solar study lamps to rural school students and mothers, wherein the lamps were assembled and maintained by the local community (self-help group networks), (ii) the entrepreneurship development of local community members towards continued livelihood through solar. We adopted mixed methods approach to collect and analyze the quantitative data from beneficiary households, while qualitative data were collected from SHG members. Our findings demonstrate the utility of localized intervention and the significance and challenges of engaging local communities. The consumers used these solar lamps for multiple activities and prefer solar over grid electricity for basic lighting. The voltage fluctuations or poor quality of electricity supply influences the preference to solar over the conventional grid. Local services enabled continued functioning of lamps, thereby increasing consumer confidence. The intervention built capacity of and created continued livelihood opportunities for local women in these communities, resulting in their economic and social growth. Appropriate capacity building and support to the SHG federations can channelize clean energy interventions at required speed, quality, and coverage. In the context of energy poor BoP communities of the Global South, our research provides key determinants impacting development of community-centered renewable energy interventions, crucial for the realization of Sustainable Development Goal 7. © 2019 Elsevier Ltd","India; Off-grid solar; Solar energy eco-system; Solar lamps; Sustained use"
