Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Source
"Ottomano Palmisano G., Govindan K., Boggia A., Loisi R.V., De Boni A., Roma R.","Local Action Groups and Rural Sustainable Development. A spatial multiple criteria approach for efficient territorial planning",2016,"Land Use Policy",17,"10.1016/j.landusepol.2016.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983792822&doi=10.1016%2fj.landusepol.2016.08.002&partnerID=40&md5=5cbbcfe8278a53a29df4e96c3642af46","Rural Sustainable Development is a very important topic under the European Union policy, and it is currently promoted through the European Agricultural Fund for Rural Development 2014–2020. This fund is managed at sub-regional level by the Community-Led Local Development approach that involves Local Action Groups in order to promote the objectives of Rural Sustainable Development within rural municipalities. Each Local Action Group applies the Strengths, Weaknesses, Opportunities and Threats analysis in order to identify for its own rural municipalities the strategic elements to which it will allocate the European Agricultural Fund for Rural Development budget. Nevertheless, this analysis has some general shortcomings, including difficulties in managing a large number of Strength and Weakness factors. In addition, the importance of each factor cannot be measured quantitatively, and the same factor may be characterized both as a Strength and a Weakness. Further difficulties may occur in the case of partnerships between different Local Action Groups, such as disagreement about whether a given factor is a Strength or a Weakness, lack of information about the relationships between Strength and a Weakness factors and decision alternatives, as well as impossibility of ranking the decision alternatives. Thus, this research aims to overcome the drawbacks of the Strengths, Weaknesses, Opportunities and Threats analysis and to support Local Action Group partnerships in the sustainability evaluation of their rural municipalities, and therefore to aid the identification of a common Rural Sustainable Development strategy to allocate the European Agricultural Fund for Rural Development budget. This decision problem was tackled by applying a Multiple Criteria Spatial Decision Support System that integrates a Geographic Information System with the Multiple Criteria Decision Aiding methods “Technique for Order Preference by Similarity to Ideal Solution” and “Dominance-based Rough Set Approach”. In order to demonstrate the validity of this methodological approach, this Multiple Criteria Spatial Decision Support System was applied to a study area of thirteen rural municipalities located in Apulia Region (Southern Italy); these municipalities belong to the same landscape unit, but they are managed by five different policy makers that represent the Local Action Groups. The results provided the maps of environmental, economic and social sustainability rankings of rural municipalities as well as their overall sustainability value. Based on these rankings, a specific Rural Sustainable Development strategy was identified for the allocation of the European Agricultural Fund for Rural Development. This methodology provided a common decision making framework that can also be applied to Local Action Group partnerships within the European Union. © 2016 Elsevier Ltd","DRSA; Local Action Groups; Multiple Criteria Decision Aiding; Rural Sustainable Development; Spatial Decision Support Systems; TOPSIS",Article,Scopus
"Boron V., Payán E., MacMillan D., Tzanopoulos J.","Achieving sustainable development in rural areas in Colombia: Future scenarios for biodiversity conservation under land use change",2016,"Land Use Policy",17,"10.1016/j.landusepol.2016.08.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984645298&doi=10.1016%2fj.landusepol.2016.08.017&partnerID=40&md5=2ce040decf11e4024f86bce94697a8a1","Agricultural expansion is a complex land use change phenomenon with deep environmental and socio-economic consequences, especially across tropical countries where most of this expansion is occurring. Here we use scenario and network analysis combined with sustainability assessment to understand the drivers of landscape change and their effects on sustainable development in Colombia's rural areas, using the Central Magdalena region as a case study, and ultimately informing strategies to reconcile agricultural expansion with biodiversity conservation and rural development. Using this approach we investigated three environmental and agricultural policy scenarios: the Business as Usual scenario, enforcing a stronger regulatory framework, and adopting incentives. Our analysis show that the Business as Usual scenario is not supported by stakeholders and negatively affects most sustainability objectives with the predominant agricultural sectors in the region (cattle ranching and oil palm) not improving social inequality, and threatening biodiversity, natural resources, and food security. Both alternative scenarios improve overall sustainability, including biodiversity. Therefore to reconcile agricultural expansion, biodiversity and sustainable development, it is important to adopt a stronger regulatory and enforcement framework at different administrative levels, as well as incentive schemes focusing on small holders. Our study also shows that history cannot be ignored when thinking about the future and sustainability especially in areas with legacies of strong inequalities caused by armed conflict. Finally, we suggest that combining scenario analysis, network analysis, and sustainability assessment is a useful methodology for studying land use changes holistically, exploring complex systems at different scales, and informing locally-relevant strategies and recommendations, ultimately enabling science to be proactive. © 2016 Elsevier Ltd","Agriculture; Environmental policy; Neotropics; Network analysis; Oil palm; Pastures",Article,Scopus
"Ottomano Palmisano G., Loisi R.V., Ruggiero G., Rocchi L., Boggia A., Roma R., Dal Sasso P.","Using Analytic Network Process and Dominance-based Rough Set Approach for sustainable requalification of traditional farm buildings in Southern Italy",2016,"Land Use Policy",14,"10.1016/j.landusepol.2016.08.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984653659&doi=10.1016%2fj.landusepol.2016.08.016&partnerID=40&md5=a9736d62d8fa05c3497859bc571cc16e","Rural Sustainable Development (RSD) is promoted by the European Union (EU) Common Agricultural Policy (CAP) 2014–2020, and in particular by the national and regional Rural Development Programmes (RDPs), which are mainly supported by the European Agricultural Fund for Rural Development (EAFRD). At the sub-regional level, a part of the EAFRD is managed by Local Action Groups (LAGs), which decide how to use their own budget within their municipalities via a bottom-up approach, according to the most suitable projects available within the RDP. Requalification of traditional farm buildings is a possible RSD project for achieving various objectives, including creation of new jobs and economic activities, protection of the natural environment, promotion of rural tourism, preservation of rural culture and traditions, encouragement of a sense of community, improvement of the viability of rural villages, and also to contrast the abandonment of rural areas. Nevertheless, European projects and research show that the different types of requalification carried out are often not related to RSD objectives and that requalification does not usually combine the sustainability dimensions and spatial features of rural areas. Furthermore, the opinions of various stakeholders should be considered to support the generation of RSD policies and strategies. Thus, this research aims to provide a RSD decision making framework that makes it possible to tackle the above issues for identifying which type of requalification to assign to certain traditional farm buildings. Therefore, the results should facilitate the work of LAG policy makers in planning and managing the EAFRD 2014–2020. The framework combines the Multiple Criteria Decision Aiding (MCDA) methods “Analytic Network Process” (ANP) and “Dominance-based Rough Set Approach” (DRSA). This framework was applied to a LAG territory in Apulia Region (Southern Italy) that includes 176 traditional farm buildings. The ANP application identified the optimal quota for each type of requalification and showed that the highest quota is allocated to Facilities and Accommodations for Rural Tourism. The second preferred requalification is Centres for Environmental Education, Recreational and Social Facilities, while the third is Facilities for the Transformation and Sale of Agricultural Products. The DRSA was then applied in a Geographic Information System (GIS) in order to choose the most suitable traditional farm buildings for each type of requalification, helping the LAG policy makers to fill each quota. © 2016 Elsevier Ltd","Analytic Network Process; Dominance-based Rough Set Approach; Local Action Groups; Multiple Criteria Decision Aiding; Rural Sustainable Development; Traditional farm buildings",Article,Scopus
"Maunganidze L.","A moral compass that slipped: Indigenous knowledge systems and rural development in Zimbabwe",2016,"Cogent Social Sciences",2,"10.1080/23311886.2016.1266749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051431126&doi=10.1080%2f23311886.2016.1266749&partnerID=40&md5=52cba5f092932dcd83ac9008fb1e24db","While African indigenous knowledge systems (IKS) remain one of the most valuable resources owned by rural people they have also been the least mobilized for sustainable development. Current development research and practice have witnessed a striking invisibility of IKS. The study adopted reflexive ethnography and utilised key informant interviews, informal or “irregular” focus group discussions, documentary evidence and individuals’ experiences in three purposively selected rural villages in Chivi district, southern Zimbabwe. Using examples from health, the study concludes that there has been a steady disaffection of IKS and practices as solutions to development woes. Besides exogenous factors, communities and individuals partly contribute to their own marginalisation and exclusion from mainstream development discourse. Rural people’s ways of learning, storing and transmitting knowledge have partly contributed to their own decimation as “knowledgeable” people often “ring fenced” their expertise or died without transferring it to next generations. © 2016, © 2016 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license.","assets; indigenous knowledge; rural development; rural people",Article,Scopus
"Postorino M.N., Mantecchini L., Paganelli F.","Green airport investments to mitigate externalities: Procedural and technological strategies",2016,"Sustainable Entrepreneurship and Investments in the Green Economy",6,"10.4018/978-1-5225-2075-7.ch08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016884538&doi=10.4018%2f978-1-5225-2075-7.ch08&partnerID=40&md5=15cecdcd58119d48a6ddd98a6225444a","Transport systems are important pollution sources, mainly in terms of greenhouse gases, noise and land consumption. To mitigate the problem and safeguard airport development at the same time, the involved stakeholders are fixing goals, priorities and duties in order to promote the sustainable development of the air transport industry at global level and the wellness of local communities as well. It is desirable to estimate airport noise and carbon impacts in order to suitably manage them and identify strategies in line with the concept of green economy. In this chapter, a general framework to identify optimal procedures and methods to evaluate the effectiveness of policies addressed to reduce airport impacts on the airport surroundings is proposed. The case study of the airport of Bologna is presented as an example of Transport Company that effectively operates to minimize its noise and carbon impacts. According to the proposed general framework, impacts and estimated costs to achieve the status of green company have been computed. © 2017 by IGI Global.",,Book Chapter,Scopus
"Eldardiry H., Habib E., Borrok D.M.","Small-scale catchment analysis of water stress in wet regions of the U.S.: An example from Louisiana",2016,"Environmental Research Letters",8,"10.1088/1748-9326/aa51dc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008158368&doi=10.1088%2f1748-9326%2faa51dc&partnerID=40&md5=d0e68f10722ae0a84bdaca3883b247bb","Groundwater is increasingly being overdrafted in the Southeastern U.S., despite abundant rainfall and the apparent availability of surface water. Using the state of Louisiana as an example, the current study quantifies the stresses on water resources and investigates the potential for opportunities to use surface water in lieu of groundwater pumping. The assessment is based on a fine watershed scale (12-digit Hydrological Unit Code [HUC] boundaries) water balance between the availability of surface and groundwater and surface water and groundwater demand. Water demand includes environmental flows, as well as public supply, rural domestic, industrial, power generation, agricultural, and aquaculture sectors. The seasonality of water stress is also addressed by incorporating monthly variations in surface water supply and irrigation demands. We develop several new weighting schemes to disaggregate the water withdrawals, provided by the U.S. Geological Survey on a county scale, to the HUC12 scale. The analysis on the smaller HUC12 scale is important for identifying areas with high water stress that would otherwise be masked at a larger scale (e.g. the county or HUC8 watershed scales). The results indicate that the annual water stress in Louisiana is below one (i.e. there is more water available than is used) for most watersheds; however, some watersheds (15 of the HUC12 units) show stresses greater than one, indicating an insufficient water supply to meet existing demands. The areas of the highest water stress are largely attributable to water consumption for power generating plants or irrigation. Moreover, estimating the stresses on surface water and groundwater sources separately confirms our speculation of abundant surface water and demonstrates a significant over-drafting/deficit of groundwater in many of the states aquifer systems. These results have implications for identifying new opportunities for reallocation of surface water use to reduce groundwater pumping and improve water sustainability in the region. Seasonal fluctuations in surface water supply and water withdrawals for irrigation highlight the fact that the water system is under more stress during the summer season. This observation underscores the need for infrastructure for shortterm surface water storage in agricultural regions. The water budget analysis presented here can be useful for stakeholders in developing water management plans and can also help to inform the development of a water code that will enable Louisiana to successfully manage and conserve its water resources for the future.","disaggregation; Louisiana; water resources; water stress; water withdrawals",Article,Scopus
"Egea P., Pérez y Pérez L.","Sustainability and multifunctionality of protected designations of origin of olive oil in Spain",2016,"Land Use Policy",13,"10.1016/j.landusepol.2016.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982703443&doi=10.1016%2fj.landusepol.2016.07.017&partnerID=40&md5=1258303a063ff809b1560cbc5e69e907","Agrarian systems provide sociocultural and environmental externalities, which contribute to the sustainability of rural areas. The aim of this article is to analyse the sustainability of some Spanish olive oil Protected Designations of Origin (PDO) through multicriteria techniques (Analytical Network Process), taking into consideration different farming systems. The analysis has been made through ten criteria grouped in three clusters: economic, environmental and socio-cultural and asked experts. This was done first to rank the criteria and second in terms of what type of farming system achieves these criteria better. According to the results, there is a high level of consensus regarding the criteria ranking and the way that farming systems contribute to agrarian multifunctionality and sustainable development, despite the different characteristics of PDOs. In all cases, organic farming is the best, followed by integrated farming, when achieving economic, environmental and socio-cultural criteria, except for Estepa (where integrated farming is preferred for the economic and socio-cultural criteria). Conventional farming is placed in third position when achieving all functions, except for the environmental criteria, for which abandonment is preferred to conventional farming in all PDOs. Multifunctionality and sustainability are maximized by a combination of farming systems: about 40% organic, 35% integrated, 20% conventional and 5% crop abandonment. The results of our model regarding the combination of farming systems are similar to the actual situation in the PDOs studied, and, more important, this has been achieved thanks to the PDO institutions. Good local institutions contribute to improve the sustainability of rural areas by encouraging innovation and entrepreneurship (especially in PDOs, triggered by Origin Designation Regulator Councils) and a European level, by paying farmers for externalities. © 2016 Elsevier Ltd","Agricultural multifunctionality; Agricultural sustainability; Analytical network process; Olive grove systems; Protected designation of origin",Article,Scopus
"Zhen J.L., Huang G.H., Li W., Wu C.B., Wang S.","Electric power system planning with renewable energy accommodation for supporting the sustainable development of Tangshan City, China",2016,"Journal of Cleaner Production",16,"10.1016/j.jclepro.2016.08.143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995616610&doi=10.1016%2fj.jclepro.2016.08.143&partnerID=40&md5=7bec227a43e35fdc374d0079863b5271","In this study, considering break the original energy structure dominated by coal and make the most use of renewable energy in the future, an inexact stochastic robust mixed-integer programming (ITSRMP) method was developed for supporting regional electric power system management in Tangshan City, China. The developed method incorporated interval-parameter programming (IPP), stochastic robust optimization (SRO), two-stage stochastic programming (TSP), and mixed integer programming (MIP) within a general optimization framework to reflect uncertainties expressed as interval values and probability distributions in the regional electric power system. Three scenarios corresponding to different subsidy price levels and three cases associated with different pollutants emission reduction levels were designed. The electricity generation schemes, facility-expansion, pollutant emission, and system cost considering the subsidy policy and air pollution mitigation control had been obtained. The results indicated that subsidy policy would exert an important influence on the development of Tangshan's electric power system, which can reduce the cost advantage of conventional power generation and enhance the development enthusiasm of renewable power generation to power enterprises. In detail, the electricity generation amount of renewable energy would increase with the improvement of subsidy price level. Moreover, decision makers could identify the possible policy implementations and enforcements under considering the trade-off among system economy, security and environmental objectives. The modeling results were valuable for promoting new energy accommodation and supporting the sustainable development of social economy. © 2016","Pollutants mitigation; Power structure adjustment; Robust optimization; Subsidy policy; Uncertainty",Article,Scopus
"Vanham D., del Pozo S., Pekcan A.G., Keinan-Boker L., Trichopoulou A., Gawlik B.M.","Water consumption related to different diets in Mediterranean cities",2016,"Science of the Total Environment",32,"10.1016/j.scitotenv.2016.08.111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982279424&doi=10.1016%2fj.scitotenv.2016.08.111&partnerID=40&md5=398dcab03536281cfe4a06caaf8e296f","Providing the sustainable development goals (SDGs) water, food and energy security to cities relies strongly on resource use outside city borders. Many modern cities have recently invested in a sustainable urban water system, and score high in international city rankings regarding water management and direct urban water use. However, these rankings generally neglect external resource use for cities. Here we quantify the water resources related to food consumption in thirteen cities located in Mediterranean countries, by means of the water footprint (WF) concept. These WFs amount from 3277 l per capita per day (l/cap/d) to 5789 l/cap/d. These amounts are about thirty times higher than their direct urban water use. We additionally analyse the WF of three diet scenarios, based upon a Mediterranean dietary pattern. Many authors identify the Mediterranean diet as cultural heritage, being beneficial for human health and a model for a sustainable food system. The first diet scenario, a healthy Mediterranean diet including meat, leads to WF reductions of − 19% to − 43%. The second diet scenario (pesco-vegetarian), leads to WF reductions of − 28% to − 52%. The third diet scenario (vegetarian), leads to WF reductions of − 30% to − 53%. In other words, if urban citizens want to save water, they need to look at their diets. © 2016 The Authors","City; Diet; Footprint; Mediterranean; Urban; Water",Article,Scopus
"Chen S., Chen B.","Urban energy–water nexus: A network perspective",2016,"Applied Energy",119,"10.1016/j.apenergy.2016.03.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961166814&doi=10.1016%2fj.apenergy.2016.03.042&partnerID=40&md5=0a764437d91a93730f967410d4890dbc","Energy–water nexus plays a prominent role in developing sustainable roadmap for cities. The energy-related water and water-demanded energy have been mostly treated as two different aspects from a reductionist way of thinking. In this study, we propose a system-based framework to synthesize the interwoven connections between energy consumption and water use in a city. By taking Beijing as a case study, the energy directly consumed by the city and energy used for water infrastructure are combined and converted into a single hybrid energy inflow to urban nexus network (UNN). Similarly, water directly consumed by the city and water utilized to supply energy are merged in the UNN. The intensities of embodied energy and water triggered by urban consumption are assessed based on input–output model, while the structural properties and sectoral dynamics of direct water- and energy- mediated networks are compared with UNNs based on network analysis. Our findings show direct and embodied energy/water consumptions are distinct in terms of the sectoral configuration. The recycling rates in water networks are around 22–23%, which are lower than those of energy networks (28–29%). The robustness of water and energy networks approximates the values of oil network and iron and steel network but is lower than that of natural ecosystems in general. The control/dependence relationships between sectors are altered significantly due to urban nexus, and the effect of nexus on water network (±30%) is smaller than energy networks (±200%). The network approach presents a great potential of bridging nexus analysis with sustainable urban planning by simultaneously addressing energy and water challenges. © 2016 Elsevier Ltd","Energy–water nexus; Input–output model; Network analysis; Sustainable urban system; Systems approach",Article,Scopus
